,abstract_id,line_id,abstract_text,line_number,total_lines,target
167756,24511614,24511614_11_13,This study provided no evidence to suggest that energy labelling or single traffic light labelling alone were effective in reducing the energy of fast food items selected from hypothetical fast food menus for purchase .,11,13,CONCLUSIONS
81005,25391549,25391549_7_13,"Mean C ( max ) values were 49.2 , 32.6 , and 28.4 ng/mL for the low - , intermediate - , and high-level coating hydrocodone ER tablet prototypes , respectively , and 37.3 ng/mL for the hydrocodone IR/APAP tablet ; respective median t ( max ) values were 5.9 , 8.0 , 8.0 , and 1.0 h. Total systemic exposure to hydrocodone ( AUC ( 0 - ) ) was comparable between hydrocodone ER tablet prototypes ( 640 , 600 , and 578 ngh/mL , respectively ) and hydrocodone IR/APAP ( 581 ngh/mL ) .",7,13,RESULTS
70195,25958769,25958769_6_15,Primary : epidural analgesia .,6,15,METHODS
139052,25432081,25432081_14_16,Pazopanib was well tolerated .,14,16,CONCLUSIONS
83726,25300273,25300273_3_12,` Rapid growth ' was defined as a positive difference in weight within the first 6 months of life standardized to WHO growth standards .,3,12,METHODS
37453,25428140,25428140_4_16,"Moreover , this study examines the role of comorbid psychopathology , subtype of the offender , and dynamics of the domestic violence .",4,16,BACKGROUND
18211,26027624,26027624_9_12,"After the 12-week study period , participants in the TCC group experienced a significant 14 % increase in Vo2 peak from baseline ( 21.6 5.2 to 24.6 5.2 mL/kg per minute ) , whereas control participants had a nonsignificant 5 % decline in Vo2 peak ( 20.4 5.1 to 19.4 4.4 mL/kg per minute ) .",9,12,RESULTS
48917,25823271,25823271_9_10,The treatment policy in Group 1 surpassed that in Group 2 in the rate of BP normalization and the number of required visits to a physician and showed significant economic benefits .,9,10,CONCLUSIONS
86546,26356398,26356398_4_13,To assess anxiety Spielberger state-trait inventory and Hamilton scale were used .,4,13,METHODS
13483,25833885,25833885_5_11,The calibrated sodium excretions were used to estimate the population distribution of usual 24-h sodium excretion .,5,11,METHODS
179976,25137845,25137845_3_9,"Those in the treatment group were applied with ZR at Xinshu ( BL15 ) and Shenshu ( BL23 ) , while those in the control group were applied with placebos at Xinshu ( BL15 ) and Shenshu ( BL23 ) .",3,9,METHODS
42974,25637849,25637849_4_10,Subjective cure was defined as no report of leakage with coughing or exercise on questionnaire .,4,10,METHODS
63704,24599195,24599195_5_16,Recurrent instability was also analyzed .,5,16,METHODS
150841,24664811,24664811_8_12,Two aspects of the Duke Social Support Index are associated with a shorter episode duration prior to seeking treatment : being part of a larger family network and a having a higher level of instrumental support prior to treatment .,8,12,CONCLUSIONS
155033,24685414,24685414_12_17,"Subgroup analyses of culture positive patients showed statistically significant improvement in CXR ( p = 0.0005 ) , weight gain ( p = 0.026 ) , increase in hemoglobin ( p = 0.017 ) and reduction in ESR ( p = 0.025 ) with add on homeopathy .",12,17,RESULTS
9264,26078237,26078237_0_12,"Patients with stroke suffer from nutrition impairments and often rely on enteral nutrition ( EN ) , which is associated with respiratory complications such as regurgitation and aspiration .",0,12,BACKGROUND
88469,24508292,24508292_1_11,Appearance-based video education can be made easily accessible .,1,11,BACKGROUND
656,25899215,25899215_4_13,"Before and after the race , a sample of venous blood was obtained , and jump height and leg muscle power were measured during a countermovement jump .",4,13,METHODS
96093,24803153,24803153_7_11,The mean choroidal thickness decreased from 158.6 m ( 115-317 ) to 155.5 m ( 111-322 ) in the ranibizumab group and from 211.5 m ( 143-284 ) to 201.5 m ( 93-338 ) in bevacizumab group .,7,11,RESULTS
43253,25380894,25380894_4_11,"The outcomes of the renal transplantations in both groups ( Myfenax vs pair ) were good , with satisfactory function of grafts .",4,11,RESULTS
22214,24836393,24836393_9_16,"Of the 1,707 MK-3641-treated subjects , 1 systemic ( anaphylactic ) reaction was reported ( 0.06 % ) .",9,16,RESULTS
168363,25273077,25273077_5_8,"No statistically significant differences were observed between the two arms with regard to 6-month survival rates ( 40 % vs. 49 % ) , median overall survival ( 5.5 vs. 6.3 months ) , median progression-free survival ( 1.9 vs. 3.0 months ) , and overall response rate ( 4.7 % vs. 8.3 % ) .",5,8,RESULTS
21895,24747100,24747100_8_12,"In the SCD-HeFT ( Sudden Cardiac Death in Heart Failure Trial ) population , the distribution of life-threatening VA failed to show a typical early morning peak or increased VA events on Mondays .",8,12,CONCLUSIONS
74478,26323938,26323938_1_10,Adaptive servo-ventilation is a therapy that uses a noninvasive ventilator to treat central sleep apnea by delivering servo-controlled inspiratory pressure support on top of expiratory positive airway pressure .,1,10,BACKGROUND
20383,24698199,24698199_10_20,"Long treatments showed more stability of peripheral systolic blood pressure ( change during HD4 , -21.715.6 mm Hg ; during HDF4 , -23.320.8 mm Hg ; during HD8 , -6.715.2 mm Hg [ P = 0.04 vs. HD4 ; P = 0.08 vs. HDF4 ] ; and during HDF8 , -0.514.4 mm Hg [ P = 0.004 vs. HD4 ; P = 0.008 vs. HDF4 ] ) .",10,20,RESULTS
27726,25357148,25357148_4_7,"Intergroup differences in spatiotemporal differences were observed , where only the experimental group showed posttraining alterations in velocity ( P = 0.02 ) and paretic step length ( P = 0.03 ) .",4,7,RESULTS
63439,24503341,24503341_11_14,"Among those who had not had HBV screening at baseline ( n = 446 ) , the adjusted odds of self-reported receipt of HBV screening at the 6-month follow-up to the educational program were significantly higher for the intervention group than for the control group ( odds ratio = 5.13 ; 95 % confidence interval , 3.14-8 .39 ; P < .001 ) .",11,14,RESULTS
989,24720919,24720919_5_10,Two hundred sixty-seven patients were available for final evaluation of the primary endpoint : its rate was 11 % in the control group and 14 % in the colchicine group ( odds ratio : 1.40 ; 95 % confidence interval : 0.67 to 2.93 ; p = 0.365 ) .,5,10,RESULTS
163699,25138332,25138332_13_14,clinicaltrials.gov Identifier : NCT00673946 .,13,14,BACKGROUND
106882,25336514,25336514_4_12,Eligible patients were randomized to receive standard care or standard care plus early rehabilitation .,4,12,METHODS
129544,25467221,25467221_0_14,Investigate the efficacy of nabilone capsules ( NAB ) in reducing the frequency and intensity of nightmares in subjects with PTSD .,0,14,OBJECTIVE
89297,24524293,24524293_2_7,Participants were 460 first-time fathers mean age = 34.2 ( s.d. 4.90 ) years .,2,7,METHODS
144446,25226730,25226730_6_10,"Group A underwent gallbladder dissection from its bed using mono-polar diathermy , while on the other hand in Group B the dissection was carried out using harmonic scalpel .",6,10,METHODS
30183,24567288,24567288_5_17,Both studies trained bilingual staff to enroll Chinese-speaking participants with the aid of linguistically appropriate fliers and brochures to obtain consent .,5,17,METHODS
150267,24445089,24445089_4_11,Patients with DPN ( N = 60 ) were divided into the test group ( n = 30 ) or control group ( n = 30 ) .,4,11,METHODS
135262,25347451,25347451_7_11,"Co-primary responder rates were 66.7 % compared with 6.7 % for investigator-assessed and 58.1 % compared with 5.4 % for subject-assessed response ( onabotulinumtoxinA group and placebo , respectively ; p < .001 ) .",7,11,RESULTS
107967,25438529,25438529_4_13,The third menstrual cycles is control cycle after milk-taking .,4,13,METHODS
43389,24313633,24313633_6_9,Similar results were also obtained in the analyses of the PEDT and CGIC scores .,6,9,RESULTS
151935,24625704,24625704_4_13,"Additionally , PSD was applied once per week during the treatment .",4,13,METHODS
138018,25811573,25811573_2_13,"In a three-arm randomized controlled trial , the effects of use of silicone gel sheets for 2 and 6 months were assessed and compared with no intervention in children with cancer after removal of the totally implantable venous access device .",2,13,METHODS
99537,24867162,24867162_6_9,"Negative correlations were found in the human assay between lactobacilli numbers and dietary advanced MRP ( r = -0.418 and -0.387 , for hydroxymethylfurfural and carboxymethyl-lysine respectively , p < 0.05 ) , whereas bifidobacteria counts were negatively correlated with Amadori compounds intake .",6,9,RESULTS
1537,25454967,25454967_1_6,"Forty-nine patients with active myofascial trigger points in upper trapezius muscle were randomly allocated to the control ( CTL ) , APT , or CMT group .",1,6,METHODS
172333,24948511,24948511_5_20,The primary endpoint was change from baseline in HbA1c levels at weeks 52 and 104 .,5,20,METHODS
118383,25380107,25380107_21_25,"The 2-week mortality rate was lower in the HTS group , but the difference was not statistically significant ( p = 0.56 ) .",21,25,RESULTS
119307,26284720,26284720_9_18,"Baseline weight was 105.7 kg with liraglutide ( 3.0-mg dose ) , 105.8 kg with liraglutide ( 1.8-mg dose ) , and 106.5 kg with placebo .",9,18,RESULTS
68716,25010823,25010823_9_13,"In a pediatric circle breathing system , the use of neither high nor low FGF provides the minimum humidity level of the inhaled gases thought to reduce the risk of dehydration of airways .",9,13,CONCLUSIONS
115790,25043278,25043278_4_12,The incidence of local and systemic reactions was comparable with the wIPV .,4,12,RESULTS
108380,24397308,24397308_2_9,The women were allocated by a computerized telephone system to ECS scheduled at 38 ( +3 ) weeks or 39 ( +3 ) weeks of gestation .,2,9,METHODS
51527,24957557,24957557_3_17,This study estimates IMN doses and doses to organs at risk ( OAR ) in patients from the DBCG-IMN .,3,17,BACKGROUND
111249,25015838,25015838_4_12,"Patients are eligible if severe sepsis or septic shock ( ICD-10 ) , at least two criteria of systemic inflammatory response syndrome ( SIRS ) , at least one organ dysfunction and sufficient cognitive capacity are present .",4,12,METHODS
61442,24684853,24684853_7_8,"Overall , ingestion of cold - and room - , but not body-tempered water reduced the workload to the heart through a reduction in heart rate and double product which could be mediated by an augmented cardiac vagal tone .",7,8,CONCLUSIONS
103889,25823174,25823174_4_12,"After need assessment , an appropriate environmental and educational intervention was implemented in the intervention group .",4,12,METHODS
71161,24886064,24886064_9_10,NOR-TEST is registered with EudraCT No 2011-005793-33 and in ClinicalTrials.gov ( NCT01949948 ) .,9,10,CONCLUSIONS
147565,24977750,24977750_9_17,Mann-Whitney U-test and Wilcoxon rank sum test were used to assess significance ( p < 0.05 ) .,9,17,METHODS
131103,24913683,24913683_0_11,Abdominal aortic aneurysm patients tend to be informed inconsistently and incompletely about their disorder and the treatment options open to them .,0,11,OBJECTIVE
74710,24346235,24346235_9_11,The selective laser photocoagulation of peripheral areas of nonperfusion seems to lead to additional visual improvement in patients with CRVO .,9,11,CONCLUSIONS
78375,25765720,25765720_6_14,"However , despite equivalent hypoglycemia , insulin and C-peptide levels were higher ( p < 0.05 ) only after glyburide .",6,14,RESULTS
160449,24988121,24988121_0_11,Attention deficits are often among the most persistent and debilitating impairments resulting from traumatic brain injury ( TBI ) .,0,11,OBJECTIVE
129906,26175279,26175279_0_10,"Although totally implantable venous access devices ( TIVAD ) are increasingly being used in oncology patients , more robust evidence about the best technique is lacking , especially regarding to ultrasound ( US ) guided puncture .",0,10,BACKGROUND
30194,24567288,24567288_16_17,Our data demonstrate that substantial effort is required for recruitment ; studies need to budget for this effort to ensure the inclusion of Asian Americans in health research .,16,17,CONCLUSIONS
9050,25602358,25602358_2_15,Cluster randomized trial conducted in 31 US pediatric intensive care units ( PICUs ) .,2,15,METHODS
17459,25321621,25321621_0_11,The aim of this study was to investigate clinical efficacy and safety of Remifemin on peri-menopausal symptoms in endometriosis patients with a post-operative GnRH-a therapy .,0,11,BACKGROUND
149769,25506771,25506771_12_14,"Providing counseling , NRT , and access to community-based resources to address sociocontextual mediators among smokers reached in this setting is effective .",12,14,CONCLUSIONS
114409,24647680,24647680_2_11,"In this multisite randomized clinical trial performed from February 1 , 2009 , through October 9 , 2011 ( date of last follow-up interview ) , we recruited 647 English - or Spanish-speaking patients 18 to 70 years old from 13 outpatient community mental health clinics across 5 states and 1 US territory .",2,11,METHODS
68171,24286482,24286482_8_10,TVT and TOT are equally effective methods in the treatment of urinary incontinence and patient satisfaction is similar in both methods .,8,10,CONCLUSIONS
176542,24330604,24330604_6_17,In stage 2 a randomized controlled trial will be conducted .,6,17,METHODS
1034,24846454,24846454_14_17,"During follow-up , six patients ( 3.5 % ) required re-intervention and additional 16 patients died with no aneurysm related deaths .",14,17,RESULTS
58236,24222194,24222194_4_8,"Time to symptom worsening was delayed in the T-DM1 arm versus the capecitabine-plus-lapatinib arm ( 7.1 months versus 4.6 months , respectively ; hazard ratio = 0.796 ; P = .0121 ) .",4,8,RESULTS
40675,26187227,26187227_9_12,This implies that SMAs may be a means to increase productivity of the physician without compromising quality of care .,9,12,CONCLUSIONS
96641,25282309,25282309_3_9,"Chronic pain patients taking long-term opioid analgesics ( n = 47 ) completed a dot probe task designed to assess opioid AB , as well as self-report measures of opioid misuse and pain severity , and then participated in behavioral treatment .",3,9,METHODS
56551,24846036,24846036_17_19,"Among adults with painful hip osteoarthritis , physical therapy did not result in greater improvement in pain or function compared with sham treatment , raising questions about its value for these patients .",17,19,CONCLUSIONS
103662,25432953,25432953_3_9,"Participants were Caucasian adults , at moderate or high risk for skin cancer , recruited in outpatient primary care .",3,9,METHODS
89550,25339836,25339836_11_21,Data for 295 patients were analysed .,11,21,RESULTS
162894,25677337,25677337_3_15,"Indeed , mounting research demonstrates that individuals render better decisions generally if they are distracted from thinking consciously about complex information after it is presented ( but can think unconsciously ) , relative to thinking about that information consciously or not at all .",3,15,BACKGROUND
37326,24684103,24684103_9_10,EA combined with general anesthesia strategy for heart valve replacement surgery without endotracheal intubation is safe and can reduce post-operative morbidity and medical costs in patients undergoing heart valve replacement surgery under cardiopulmonary bypass .,9,10,CONCLUSIONS
66313,24754961,24754961_4_20,"This is a monocentric , open , three-arm randomized controlled trial .",4,20,METHODS
98768,24878174,24878174_0_12,Contrast sensitivity sometimes increases in patients with open-angle glaucoma when intraocular pressure ( IOP ) is decreased .,0,12,OBJECTIVE
49173,25006185,25006185_10_17,"There was an increased risk for agents with cox-2 > cox-1 inhibition ( HR , 1.17 ; 1.10-1 .24 ; P < 0.001 and naproxen only : HR , 1.22 ; 1.12-1 .34 ; P < 0.001 ) .",10,17,RESULTS
147610,24240972,24240972_5_19,"Of 234 eligible women , 17 were lost to follow-up , and the remaining 217 women were analysed .",5,19,RESULTS
98142,24838056,24838056_3_12,Event-free survival was evaluated at 3 ( primary endpoint ) and 12 months ( secondary endpoint ) .,3,12,RESULTS
16766,25884195,25884195_9_14,"Eating disorder risk , internalization of Western beauty ideals , body dissatisfaction , self-concept as well as anxiety and symptoms of depression are measured before and immediately after the intervention as well as at a six-month follow-up .",9,14,METHODS
126759,25858909,25858909_13_14,Protocol available at http://www.clinicaltrials.gov .,13,14,BACKGROUND
47041,24399428,24399428_4_8,"Overall , 21 % of patients achieved remission ( LSAS score 30 ) at the endpoint , and 27 % of patients assigned to sertraline plus clonazepam achieved remission compared with patients assigned to sertraline plus placebo ( 17 % ) or venlafaxine ( 19 % ) , but the differences did not reach significance .",4,8,RESULTS
96022,24849193,24849193_8_10,"This study indicates that demographic factors influence the inter-individual variability in the disposition of the combination drug , and it might be more useful to apply it to the PK of olmesartan medoxomil/hydrochlorothiazide ( 20/12 .5 mg ) FDC tablets administered to patients with hypertension .",8,10,CONCLUSIONS
65049,24237718,24237718_3_12,The aims of this study were to test the effectiveness of a parental training programme in enhancing the parent-child relationship and decreasing parental stress by reducing harsh parenting in preparing children for the transition to primary school .,3,12,BACKGROUND
167832,25695900,25695900_8_12,"However , scores in the sections of pediatric otolaryngology ( 8 % increase , P = .03 ) , otology ( 7 % increase , P = .02 ) , and facial plastic surgery ( 10 % increase , P = .02 ) improved from 2012 to 2013 only among residents with access to the modules .",8,12,RESULTS
32865,25467566,25467566_0_19,"Mechanical chest compression devices have the potential to help maintain high-quality cardiopulmonary resuscitation ( CPR ) , but despite their increasing use , little evidence exists for their effectiveness .",0,19,BACKGROUND
120698,25138109,25138109_5_17,We intended to investigate whether a transient exercise-induced fall-risk may occur in both groups .,5,17,OBJECTIVE
19703,24803435,24803435_2_15,The aim of this study was to investigate the safety and efficacy of a polymer-free paclitaxel-eluting stent ( PF-PES ) versus a polymer-based PES ( PB-PES ) .,2,15,BACKGROUND
159058,25255113,25255113_2_12,A total of 255 patients were randomized to either vertical scar or inverted T - shaped reduction .,2,12,METHODS
10657,24262616,24262616_4_11,"Major adverse cardiac events-the composite of cardiac death , myocardial infarction , stent thrombosis , ortarget vessel revascularization-were the primary endpoint .",4,11,METHODS
14908,25345354,25345354_6_8,All temperature parameters except diurnal temperature range were positively associated with edema volume after adjustment for confounding variables ( all P < 002 ) .,6,8,RESULTS
66072,24911979,24911979_0_11,This study investigated the effects of written emotional disclosure on a model of chronic pain in healthy women with and without trauma history .,0,11,OBJECTIVE
101630,24561972,24561972_8_10,"Main characteristics of participants were balanced at baseline within intervention and control schools , but a gap existed between healthy lifestyle knowledge and actual healthy behavior in students .",8,10,CONCLUSIONS
108017,25608747,25608747_9_12,"Higher 2-year event rates were noted in men in comparison with women after a normal CSE ( men 5.4 % , women 1.6 % , p = 0.02 ) , but not after a normal RTMCE ( men 5.8 % , women 3.7 % , p = 0.41 ) .",9,12,RESULTS
3713,25749596,25749596_4_11,The Acupuncture Expectancy Scale ( AES ) was used to measure expectancy four times during the trial .,4,11,METHODS
11747,24713049,24713049_1_16,The added value of heart and respiratory rate variability ( HRV and RRV ) during spontaneous breathing trials ( SBTs ) to predict extubation failure remains unknown .,1,16,BACKGROUND
153080,24433264,24433264_16_19,Patients ' safety and quality of life are assumed to be enhanced .,16,19,CONCLUSIONS
65337,24846373,24846373_10_12,The risk of HF as determined by the ID algorithm correlated with HF hospitalization and several HF signs and symptoms among patients in the Resynchronization-Defibrillation for Ambulatory Heart Failure Trial .,10,12,CONCLUSIONS
67873,26024110,26024110_8_13,"The systemic VEGF-A levels were significantly reduced 1 and 4 weeks after intravitreal aflibercept ( P < 0.001 , P < 0.001 ) and bevacizumab ( P < 0.001 , P < 0.01 ) injections .",8,13,RESULTS
51598,24456787,24456787_9_11,"Terazosin plus tolterodine improves ureteral stent-related complications , including irritative symptoms , the amount of analgesics used , QoL , flank pain and voiding pain but does not decrease obstructive symptoms or suprapubic pain .",9,11,CONCLUSIONS
30140,25348157,25348157_6_16,"The RIPC will be induced by inflation of a blood pressure cuff to 200 mmHg for 5 minutes , followed by a 5-minute reperfusion period .",6,16,METHODS
115444,24258250,24258250_4_9,"Characteristics of peer coaches included age , gender , years with diabetes , A1C , body mass index ( BMI ) , levels of diabetes-related distress , self-efficacy in diabetes self-management , and depression .",4,9,METHODS
95283,25702400,25702400_6_10,"Relative risk ( RR ) ( ALP vs QUIN ) 0.58 ( 95 % CI 0.37-0 .91 , p < 0.02 ) .",6,10,RESULTS
153897,24378206,24378206_5_24,Baseline characteristics were balanced across groups .,5,24,RESULTS
15484,25077715,25077715_3_11,Rat tissue extractions in the presence or absence of a series of proteases of interest were used to identify its enzymatic origin .,3,11,METHODS
99435,24361280,24361280_7_11,ORRs in mutation-positive cytology ( 83 % ) and histology ( 74 % ) subgroups were consistent with previous analyses ( 71 % ) .,7,11,RESULTS
134276,24534303,24534303_6_13,To evaluate stability of circulation .,6,13,METHODS
160675,25454283,25454283_6_12,"Within this group of responders , force significantly increased from 4 % to 16 % of the maximal voluntary contraction force and H-reflexes were depressed after WPHF NMES .",6,12,RESULTS
52550,24768981,24768981_3_12,One hundred fifty women referred for hysteroscopy between January and October 2013 .,3,12,METHODS
91296,24529697,24529697_9_16,"We invited 46,001 women to participate , 12,819 of whom returned self-sampled material ; 1038 samples tested positive for high-risk HPV .",9,16,RESULTS
126558,24660834,24660834_9_13,"Procedures included orthopedic ( conventional = 29 % , EGHEM 36 % ) , general ( conventional = 50 % , EGHEM = 36 % ) , vascular ( conventional = 7 % , EGHEM = 21 % ) , and thoracic ( conventional = 14 % , EGHEM = 7 % ) .",9,13,RESULTS
92573,24386927,24386927_8_9,Reaching patients with other sociodemographic characteristics may require more resources or alternate methods .,8,9,CONCLUSIONS
42103,24953333,24953333_14_18,"In the intention-to-treat ( ITT ) population , PFS was not significantly different .",14,18,CONCLUSIONS
86229,24824648,24824648_12_14,All subjects who produced detectable HAI titers also rapidly generated high AI in the short and long term .,12,14,CONCLUSIONS
35625,24463131,24463131_5_8,"In both groups , MAP , LVEF and CO were significantly decreased at T2 and T3 ( P < 0.05 ) and serum levels of cTn , CK-MB and BNP significantly increased at T4 and T5 compared to those at T0 ( P < 0.05 ) .",5,8,RESULTS
62536,24918373,24918373_8_13,"At week 24 , ACR 20 response rates in the brodalumab 140-mg and 280-mg groups were 51 % and 64 % , respectively , as compared with 44 % among patients who switched from placebo to open-label brodalumab ; responses were sustained through week 52 .",8,13,RESULTS
36816,24842179,24842179_1_10,"Botulinum toxin type A ( BoNT-A ) has been shown to have antinociceptive properties and elicit sustained muscle relaxation , thereby possibly affording even greater relief than traditional strategies .",1,10,BACKGROUND
118397,24395863,24395863_10_12,"TPZ/CIS chemoradiotherapy was not superior to CIS chemoradiotherapy in either PFS or OS , although definitive commentary was limited by an inadequate number of events ( progression or death ) .",10,12,CONCLUSIONS
69638,24757032,24757032_7_11,"There was no significant difference between groups for change in pain ( mean difference [ 95 % confidence interval ( 95 % CI ) ] 0.7 mm [ -9.4 , 8.0 ] ; P = 0.88 ) or physical function ( -0.3 units [ 95 % CI -4.0 , 3.5 ] ; P = 0.88 ) .",7,11,RESULTS
85535,24733990,24733990_4_11,We evaluated QoL using norm-based scoring of the Short Form-36 at baseline and at 8 weeks .,4,11,METHODS
89884,25546925,25546925_7_13,"Poor perinatal outcome was defined as : small for gestational age , large for gestational age or admission to a neonatal intensive care unit .",7,13,METHODS
69356,24945393,24945393_10_22,A significant difference ( p < 0.005 ) between the groups was found in suturing time ; the median time for staples was 81 sec in comparison with 290 sec for conventional suture .,10,22,RESULTS
22015,24568299,24568299_13_14,"This trial is registered in ClinicalTrials.gov , with the ID number : NCT01343927 .",13,14,BACKGROUND
75261,24880577,24880577_2_12,They were assigned to either retromuscular inset of a lightweight polypropylene mesh or to dual closure of the anterior rectus fascia using Quill self-locking technology .,2,12,METHODS
31927,24866862,24866862_9_16,The primary outcome was major mobility disability objectively defined by loss of ability to walk 400 m.,9,16,METHODS
28689,24943472,24943472_3_20,We conducted a single-blinded RCT nested within an observational study with three unbalanced parallel groups .,3,20,METHODS
28518,24424409,24424409_5_12,"In the clinical setting recorded in our study , only a minority of patients underwent optical coherence tomography during the maintenance phase ( 71 of 1,729 patients ) .",5,12,RESULTS
152908,24752608,24752608_8_11,"The average pain rating for the single pass treatment ( mean 3.6 , 95 % CI : 2.8 to 4.5 ) was significantly ( P = 0.0007 ) greater than the in-motion treatment ( mean 2.7 , 95 % CI 1.8 to 3.5 ) .",8,11,RESULTS
63974,25539779,25539779_4_19,"Participants from the Gold Coast ( Australia ) recruited via radio , newspaper and community meetings .",4,19,METHODS
112599,25037651,25037651_13_15,The Wheelchair-bound Senior Elastic Band exercises significantly improved the functional fitness of the older adults in wheelchairs .,13,15,CONCLUSIONS
105556,25231565,25231565_8_9,"According to the findings attained by this pilot study , bioresonance therapy is clinically effective in smoking cessation and does not show any adverse side effects .",8,9,CONCLUSIONS
6931,24929883,24929883_5_14,"In phases 1 and 2A , 2 plaques were randomized to either halobetasol 0.05 % or vehicle ointment application .",5,14,METHODS
27552,25248448,25248448_1_11,We examined whether others ' or self-action observation is effective for standing balance learning .,1,11,OBJECTIVE
14400,24738786,24738786_10_14,There was no difference in Papillary Bleeding Score between the two groups after 3 weeks of treatment .,10,14,CONCLUSIONS
137631,24890483,24890483_2_7,A significant message content by time interaction indicated that the habit-based intervention improved fruit consumption over the eight-week period .,2,7,RESULTS
26380,24962086,24962086_7_9,"If effective and resource-efficient , the task-shifting , protocolized model will provide an approach to building the capacity for sustainable integration of depression treatment in HIV care settings across sub-Saharan Africa and improving key public health outcomes .",7,9,CONCLUSIONS
83739,24674962,24674962_4_9,"After training the patients for 3 sessions a week over 4 weeks , we observed a significant reduction in tic frequency and improved indices of subjective well-being in both the active-biofeedback and sham-feedback ( control ) groups , but there was no difference between the groups in these measurements .",4,9,RESULTS
175242,24576271,24576271_2_9,In the present study 87 patients in an intervention group and 91 patients in a control group were assessed at 12months follow-up .,2,9,METHODS
42711,25156178,25156178_9_10,"The VER-brace was slightly more comfortable , which could ensure better compliance with treatment over the long term .",9,10,CONCLUSIONS
157006,25877492,25877492_14_15,The Supermarket Healthy Eating for Life trial was registered at Current Controlled Trials Registration as ISRCTN39432901 .,14,15,CONCLUSIONS
699,25100336,25100336_3_13,Mean CT numbers of pulmonary arteries in group B were higher than those in group A ( all P < 0.001 ) .,3,13,RESULTS
100224,24585409,24585409_4_7,"In analyses of the highest-risk aggressive prostate cancer ( Gleason score 8 or T3-T4 ) , the highest quartile of c-peptide , compared with the lowest , was associated with an OR of 1.41 [ 95 % confidence interval ( CI ) , 0.72-2 .78 ] .",4,7,RESULTS
20349,26087637,26087637_10_13,"By day 30 day of treatment , the stiffness score was also observed to fall in all the groups and achieved even lower values in the Alflutop and diacerein groups compared with diclofenac group .",10,13,RESULTS
176309,24824197,24824197_1_10,"This was a multi-centre , phase3 , randomized , double-blind , placebo-controlled study comparing linagliptin 5mg once daily ( n = 183 ) and placebo ( n = 89 ) as add-on to metformin and pioglitazone .",1,10,METHODS
2483,24667994,24667994_0_10,To compare the efficacy and safety of single-dose bimatoprost 0.03 % / timolol 0.5 % preservative-free ( PF ) ophthalmic solution with bimatoprost 0.03 % / timolol 0.5 % ophthalmic solution in patients with open-angle glaucoma or ocular hypertension .,0,10,OBJECTIVE
102245,25439614,25439614_9_12,Five-year results suggest focal/grid laser treatment at the initiation of intravitreal ranibizumab is no better than deferring laser treatment for 24 weeks in eyes with DME involving the central macula with vision impairment .,9,12,CONCLUSIONS
98379,24909528,24909528_10_13,"Analysis of the diagnostic cases on the PFLA revealed significantly higher meanSD scores for participants in the basic science learning condition ( 0.720.14 ) compared with those in the clinical learning condition ( 0.630.15 ) ( t [ 42 ] = 2.02 , p = 0.05 , d = 0.62 ) .",10,13,RESULTS
99367,24368224,24368224_9_12,No TDF resistance developed through 96 weeks of treatment .,9,12,RESULTS
42559,24485665,24485665_1_14,Photodynamic therapy ( PDT ) has been proposed as palliative management for unresectable hilar cholangiocarcinoma ( UHC ) .,1,14,BACKGROUND
89150,24739815,24739815_3_8,"Data regarding the recovery of bowel function ( times to the first bowel sounds , passage of flatus and defaecation ) were collected and analysed .",3,8,METHODS
103593,25475947,25475947_5_11,"The mean operating time of the stapled group and the hand-sewn group were 193 and 226 min , respectively ( P < 0.001 ) .",5,11,RESULTS
140176,24512477,24512477_2_15,"The purpose of this study was to understand mindfulness training as experienced by patients with chronic insomnia , and suggest procedures that may be useful in optimizing sleep benefits .",2,15,BACKGROUND
99899,25711320,25711320_2_10,Interested START sites were randomized to use either the standard consent form or the concise consent form for all of the site 's participants .,2,10,METHODS
81179,24675035,24675035_5_10,"Overall rates of re-intervention were not significantly different between the two groups : 13/59 ( 22.0 % ) in the covered group vs. 13/61 ( 21.3 % ) in the uncovered group , p = 0.999 .",5,10,RESULTS
118559,24439741,24439741_1_17,The aim of this work was to investigate the safety in terms of postoperative infection and cosmetic effectiveness of subcuticular wound closure after elective colon cancer surgery in clean-contaminated wounds .,1,17,BACKGROUND
24670,24720273,24720273_5_12,"[ Correction added on 17 April 2014 , after first online publication : Sentence was amended . ]",5,12,METHODS
88656,25179916,25179916_6_16,"RCT-18 was well tolerated , although mild infections and skin irritation occurred more frequently in patients receiving this drug .",6,16,RESULTS
89707,24402594,24402594_13_15,"ClinicalTrials.gov , www.clinicaltrials.gov , NCT01431040 .",13,15,BACKGROUND
177133,25283586,25283586_9_11,"The women in the GnRHa group exhibited a greater increase of AT than the LNG-IUS users ( LNG-IUS : -0.7 9.5 % vs. GnRHa : 6.5 10.1 % , p = 0.02 ) .",9,11,RESULTS
30863,24956323,24956323_7_8,Results from the ACT study will provide needed evidence on the effectiveness of comprehensive multi-level interventions to improve urban African American patients ' hypertension control .,7,8,CONCLUSIONS
96692,24866594,24866594_6_11,"Only the middle-aged and older adults in the sleep condition demonstrated significant off-line improvement in performance , measured as a decline in time to walk around the novel path and improvement in spatiotemporal gait parameters .",6,11,RESULTS
109494,25157002,25157002_7_14,Baseline z scores were the best predictors of z scores at study exit .,7,14,RESULTS
